ticket_id,category,room,description,priority
1,Heating ,unit,Heating system failing to maintain consistent temperature.,Medium
2,Safety,unit,Apartment front door not locking.,High
3,Plumbing,bathroom,Toilet not flushing toilet bocked.,Medium
4,Other,living room,living room not being cleaned.,Low
5,Plumbing,bathroom,Water leaking from toilet.,Medium
7,Plumbing,bathroom,Water is leaking from from the ceiling in the bathroom.,High
9,Maintenance,living room,Light in living room not turing on,Low
10,Appliance ,kitchen,Oven not turning on.,Medium
12,Maintenance,living room,mold growing in the living room under the window,Medium
13,Plumbing,kitchen,Kitchen sink leaking water into the sink.,Medium
14,Heating,bedroom,radiator making loud nosies but still heating up.,Low
15,Maintenance,bathroom,Mold growing in the bathroom near shower.,Medium
16,Electrical,living room,Outlet in living room not working.,Low
17,Electrical,living room,Bulb in the living room is bLown.,Low
22,Plumbing,bathroom,Bathroom sink drain clogged and causing slow drainage.,Low
23,Other,bathroom,Bathroom not being cleaned ,Low
24,Heating ,unit,Heating system failing to maintain consistent temperature.,High
25,Appliance,kitchen,Oven hob ring not heating up.,Low
27,Maintenance,kitchen,Dishwasher leaking from the bottom of it ,High
28,Other,kitchen,Kitchen not being cleaned and bins overfLowing.,Low
29,Plumbing,kitchen,Water leak in kitchen near sink.,High
31,Plumbing,kitchen,Mold is growing on the  wall behind the kitchen cabinets ,Medium
32,Appliance,kitchen,Freezer overfLowing with ice ,Low
35,Appliance,kitchen,Refrigerator is making loud noises and not  staying cold. ,Medium
37,Maintenance,living room,Broken window latch on living room window,Low
40,Plumbing,bathroom,Water leaking in the bathroom from the sink ,High
41,Maintenance,bathroom,Paint in the bathroom chiping,Low
42,Safety,kitchen,Broken floor tile in kitchen ,Medium
50,Electrical,kitchen,Outlet in kitchen sparks when something is plugged in. ,High
60,Heating,unit,Heating system is cycling on and off and not heating up the apartment.,Medium
62,Pest Control ,bedroom,Mouse or rat dropings seen in bedroom 3,High
68,Plumbing,unit,No water to the whole apartment,High
71,Other,kitchen,Bins not being taken out by roommates ,Low
76,Heating,unit,Heater making funny noise still working normily ,Medium
106,Other,kitchen,roommate is not Other the kitchen,Low
107,Plumbing,bathroom,Toilet not flushing in bathroom 2,Medium
108,Heating,unit,Heating not turning on ,High
145,Pest Control ,kitchen,flys all over the kitchen ,Low
146,Appliance,bathroom,Shower not turning on,Medium
486,Electrical,bedroom,Electrical outlet sparking when something is pluged in in bedroom 4,High
519,Other,unit,Common area not being Other.,Low
520,Maintenance,living room,Paint of living room is chiped ,Low
955,Plumbing,kitchen,Leaky tap in kitchen ,Low
956,Electrical,bedroom,Light flickering in bedroom 4 ,Low
957,Maintenance ,unit,Doorbell not working for apartment ,Low
960,Plumbing,bathroom,Bathroom flooding ,High
965,Heating,living room,Radiator in living room not heating up also making a strange noise,Medium
976,Heating,unit,Heating not turning on.,High
977,Maintenance,bedroom,Bedroom door lock not working ,High
978,Plumbing,bathroom,Tap in bathroom 2 is not turing off,Medium
1008,Safety,bedroom,Window latch not closing or locking on bedroom window,Medium
1009,Plumbing,bathroom,Only very very hot water when using the shower ,High
1016,Plumbing,bathroom,No hot water in shower of bathroom 2,High
1025,Safety,unit,Door to apartment not locking ,High
